user,Gender?,College,Whiskey Sour,Old Fashion,Whiskey Coke,Pickle Back,Tequila Sunrise,Margarita,Freddy��Fudpucker,Bacardi Cocktail,Rum and Coke,Mojito,Daiquiri,Malibu,Blue Hawaii,Mai Tai,Gimlet,Gin and Tonic,French 75,White Russian,Cran Vodka,Appletini,Cosmo,Blue Guy,Screwdriver,Moscow Mule,Lemon Drop,Sex on the Beach,Mimosa,Long Island,SF Slide,"Please add you favorite drinks we may have missed (seperate multiple values with a ',')",Start Date (UTC),Submit Date (UTC),Network ID
22fbce5ac97792b2c5ec031a5629731f,Female,College of Engineering,-1,-1,-1,-1,1,1,-1,-1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,0,,10/5/16 18:25,10/5/16 18:27,55dddd05cb
f80bdc9c6d6ac8d300a754515a56a9fe,Male,College of ACES,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,10/5/16 18:28,10/5/16 18:29,771c841079
6ddfa08f261024b2eab2848f59a79e77,Male,College of LAS,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,10/5/16 18:28,10/5/16 18:29,6602cb74d8
df975a317b663f8b40e3486845c7e9c1,Female,College of Engineering,1,1,1,-1,1,1,0,1,1,1,1,1,0,0,0,-1,0,1,1,-1,1,1,1,0,0,1,1,1,0,,10/5/16 18:28,10/5/16 18:29,197b4ffab5
0543fcbc0ce78f72d6bb3d26bc573303,Male,College of LAS,1,1,1,-1,1,1,-1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,1,1,1,-1,-1,1,1,-1,"Adios Motherfucker, liquid marijuana",10/5/16 18:28,10/5/16 18:30,56c1926e1e
fc878ed4e14ab2d21ea935a94a257502,Male,College of Engineering,-1,1,1,-1,,1,-1,1,1,1,1,1,1,1,,1,1,,1,,1,,,,,,1,1,-1,beer,10/5/16 18:30,10/5/16 18:31,58b03400b4
ff9d7fa7cdece742d5865e6597b81a66,Female,College of LAS,0,0,1,-1,1,1,0,0,1,1,1,1,0,1,0,0,0,1,1,1,0,1,1,0,1,1,1,1,0,Fishbowl,10/5/16 18:30,10/5/16 18:32,cf28d6ce61
ae8bda9207cc9e9fe368bff6ed25e29f,Male,College of Engineering,0,0,-1,0,1,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,,10/5/16 18:30,10/5/16 18:33,809f6b2eaf
affa89a9ba4bcc2ef0e0b9c0ec1c0018,Male,College of Engineering,1,1,1,-1,-1,1,0,1,1,0,0,1,1,1,0,-1,0,1,-1,-1,0,1,1,0,1,1,1,1,0,,10/5/16 18:31,10/5/16 18:33,bdacd5498b
0489faf2b506a7daa85b0bc7ad7c8faa,Male,DGS,0,1,1,0,-1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,,10/5/16 18:33,10/5/16 18:35,e6ee2f69c4
835eebaab72e982edd18a564676a1fca,Male,DGS,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,,10/5/16 18:32,10/5/16 18:35,20dd855e51
ecb891ff2a2992e3719f5887ffc1e2f4,Female,College of LAS,-1,1,1,-1,1,1,0,1,-1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,,10/5/16 18:27,10/5/16 18:37,16f6dff644
a6a4be215f1620a4292eacd686c51fc5,Male,College of LAS,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fireball,10/5/16 18:35,10/5/16 18:37,2ae09df688
89f8d11d09dd7538d1334082a9f8c3c7,Female,Other,-1,-1,1,0,1,1,0,-1,1,-1,1,0,-1,1,0,-1,0,1,-1,-1,-1,0,-1,-1,-1,1,0,-1,0,Bailey's Milk,10/5/16 18:36,10/5/16 18:38,237b6c5cbe
